City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
400,kavaratti,10.5669,72.642,27.28,84,94,5.34,IN,1720669646
401,sittwe,20.15,92.9,28.1,75,100,2.55,MM,1720669646
402,copala,16.65,-98.9833,26.08,75,99,0.94,MX,1720669646
403,bhakkar,31.6253,71.0657,39.88,29,1,1.12,PK,1720669646
404,dambulla,7.86,80.6517,30.63,58,20,6.21,LK,1720669646
405,kalmunai,7.4167,81.8167,29.07,67,100,0.81,LK,1720669647
406,gusinoozyorsk,51.2833,106.5,22.63,64,51,2.1,RU,1720669647
407,abashiri,44.0213,144.2697,26.16,69,20,1.54,JP,1720669647
408,pampa del indio,-26.0647,-59.919,7.61,58,77,1.44,AR,1720669647
409,katabu,-4.9333,122.5167,30.43,48,40,3.25,ID,1720669647
410,san luis de la loma,17.2706,-100.8939,26.2,83,99,1.23,MX,1720669647
411,sisimiut,66.9395,-53.6735,4.73,94,100,1.83,GL,1720669647
412,rio rancho,35.2334,-106.6645,25.28,36,46,2.62,US,1720669647
413,santyoku,37.4406,129.1708,25.61,70,9,2.98,KR,1720669648
414,fukuecho,32.6881,128.8419,24.2,94,75,1.54,JP,1720669648
415,al ghayzah,16.2079,52.176,27.25,85,90,5.53,YE,1720669648
416,selfoss,63.9331,-20.9971,11.14,98,100,8.64,IS,1720669648
417,keban,38.7978,38.7336,26.84,43,0,1.52,TR,1720669648
418,walvis bay,-22.9575,14.5053,11.16,57,0,2.44,NA,1720669648
419,gazojak,41.1875,61.4036,35.01,19,29,3.76,TM,1720669648
420,acarau,-2.8856,-40.12,24.34,88,97,4.72,BR,1720669648
421,turbat,26.0023,63.044,32.15,62,9,3.77,PK,1720669648
422,sitka,57.0531,-135.33,11.94,87,100,3.09,US,1720669418
423,hinton,53.4001,-117.5857,21.4,39,23,1.32,CA,1720669649
424,imperatriz,-5.5264,-47.4917,23.84,64,37,1.41,BR,1720669649
425,codrington,-38.2667,141.9667,10.5,87,100,10.47,AU,1720669649
426,stephenville,32.2207,-98.2023,28.07,59,0,2.57,US,1720669649
427,dolisie,-4.1997,12.6739,17.33,95,43,1.34,CG,1720669649
428,hammerfest,70.6634,23.6821,11.25,82,13,4.12,NO,1720669649
429,laguna,38.421,-121.4238,35.25,34,0,4.63,US,1720669649
430,newman,37.3138,-121.0208,34.6,23,0,3.42,US,1720669650
431,kapa'a,22.0752,-159.319,27.18,74,100,7.2,US,1720669650
432,willowmore,-33.2926,23.4895,11.01,71,87,9.55,ZA,1720669650
433,flagstaff,35.1981,-111.6513,24.21,23,0,2.06,US,1720669650
434,mahina,-17.5065,-149.489,26.87,69,75,3.09,PF,1720669650
435,reyes,-14.3167,-67.3833,13.95,80,99,0.83,BO,1720669650
436,baotou,40.6522,109.8222,33.02,26,48,3.1,CN,1720669650
437,mantua,45.1667,10.7833,23.58,87,2,0.89,IT,1720669651
438,axim,4.8699,-2.2405,23.83,88,100,3.24,GH,1720669651
439,quellon,-43.1167,-73.6167,6.62,85,86,3.99,CL,1720669651
440,bodo,67.28,14.405,14.02,81,100,7.2,NO,1720669651
441,tamiahua,21.2667,-97.45,24.2,93,100,2.35,MX,1720669651
442,camabatela,-8.1881,15.375,13.98,23,7,2.04,AO,1720669651
443,toktogul,41.8708,72.9402,20.76,63,0,0.84,KG,1720669651
444,georgetown,5.4112,100.3354,30.97,58,20,2.57,MY,1720669652
445,yeniseysk,58.4497,92.1703,23.33,46,6,2.78,RU,1720669652
446,nguigmi,14.2495,13.1092,27.28,60,98,4.16,NE,1720669652
447,midvagur,62.0511,-7.1939,9.46,93,100,0.0,FO,1720669652
448,vanimo,-2.6741,141.3028,29.47,72,91,1.94,PG,1720669652
449,asaita,11.5636,41.4394,33.96,32,86,1.19,ET,1720669652
450,zheleznogorsk-ilimskiy,56.5768,104.1217,29.13,43,62,2.73,RU,1720669429
451,luderitz,-26.6481,15.1594,13.71,79,84,2.67,NA,1720669653
452,saipan,15.1355,145.701,32.39,62,20,6.17,MP,1720669653
453,eldorado,-23.7869,-54.2836,11.91,76,84,1.23,BR,1720669653
454,nasugbu,14.1,120.6833,25.13,89,100,0.49,PH,1720669653
455,siracusa,37.0881,15.2792,24.06,67,0,3.15,IT,1720669654
456,port douglas,-16.4833,145.4667,24.19,69,20,4.98,AU,1720669654
457,carbonear,47.7332,-53.2148,19.22,94,96,4.88,CA,1720669654
458,lamu,-2.2717,40.902,25.04,76,73,6.29,KE,1720669654
459,callao,-12.0667,-77.15,17.46,77,100,7.2,PE,1720669654
460,tarauaca,-8.1614,-70.7656,22.38,76,20,1.13,BR,1720669654
461,minab,27.1467,57.0801,32.83,65,27,1.81,IR,1720669654
462,antonio enes,-16.2325,39.9086,20.28,74,1,1.24,MZ,1720669654
463,kapsan-up,41.0903,128.2933,25.46,42,0,2.97,KP,1720669655
464,sucre,-19.0333,-65.2627,7.18,65,0,2.74,BO,1720669655
465,sola,-13.8833,167.55,28.37,79,100,2.57,VU,1720669655
466,wewak,-3.5534,143.6268,29.6,70,94,2.35,PG,1720669655
467,lashio,22.9333,97.75,21.21,99,100,1.04,MM,1720669655
468,amga,60.8953,131.9608,24.31,57,59,0.31,RU,1720669655
469,znamenka,52.4167,41.4311,20.82,80,0,4.25,RU,1720669655
470,prince george,53.9166,-122.753,25.69,34,0,5.66,CA,1720669655
471,naze,28.3667,129.4833,31.51,73,83,7.53,JP,1720669656
472,korla,41.7597,86.1469,30.9,21,100,7.62,CN,1720669656
473,kovel,51.2153,24.7087,20.9,88,0,3.93,UA,1720669656
474,kuanda,56.3161,116.0806,28.79,47,57,1.36,RU,1720669656
475,harlingen,26.1906,-97.6961,27.95,100,38,3.66,US,1720669656
476,nar'yan-mar,67.6713,53.087,11.21,67,69,5.97,RU,1720669656
477,nuuk,64.1835,-51.7216,4.34,100,100,3.6,GL,1720669656
478,mount isa,-20.7333,139.5,25.87,17,7,3.6,AU,1720669656
479,shepparton,-36.3833,145.4,11.35,68,100,6.42,AU,1720669657
480,tefe,-3.3542,-64.7114,23.64,89,37,0.79,BR,1720669657
481,fortaleza,-3.7227,-38.5247,27.07,78,75,3.6,BR,1720669657
482,kirkwall,58.9848,-2.9587,11.03,87,75,9.26,GB,1720669657
483,enkhuizen,52.7,5.2833,16.0,90,70,1.79,NL,1720669657
484,alotau,-10.3069,150.4462,27.44,68,100,3.07,PG,1720669657
485,acapulco de juarez,16.8634,-99.8901,27.9,83,100,0.0,MX,1720669607
486,san isidro,-12.1167,-77.05,17.07,82,100,7.2,PE,1720669658
487,turpan,42.9333,89.1667,36.96,19,5,1.66,CN,1720669658
488,caleta de carquin,-11.0925,-77.6267,16.2,85,12,4.64,PE,1720669658
489,mushie,-3.0167,16.9,20.73,60,4,1.64,CD,1720669658
490,vila velha,-20.3297,-40.2925,23.97,88,0,4.63,BR,1720669658
491,manokwari,-0.8667,134.0833,27.66,75,94,0.58,ID,1720669658
492,sinjar,36.3209,41.8754,35.55,15,0,1.42,IQ,1720669659
493,akjoujt,19.6969,-14.4164,30.85,32,79,4.68,MR,1720669659
494,murun-kuren,49.6342,100.1625,24.77,46,76,2.11,MN,1720669659
495,hilo,19.7297,-155.09,26.64,88,62,0.45,US,1720669659
496,fortuna foothills,32.6578,-114.4119,37.07,28,0,1.79,US,1720669659
497,humen,22.819,113.6731,31.95,63,100,5.32,CN,1720669659
498,ashkasham,36.6833,71.5333,13.56,47,7,1.52,AF,1720669659
499,massawa,15.6097,39.45,34.1,53,92,0.3,ER,1720669659
500,sirte,31.2089,16.5887,25.42,83,0,3.57,LY,1720669660
501,ohara,35.25,140.3833,26.24,81,100,12.01,JP,1720669660
502,juan griego,11.0817,-63.9655,28.07,89,53,5.66,VE,1720669660
503,akhtubinsk,48.2795,46.1722,29.51,36,50,4.66,RU,1720669660
504,petoskey,45.3733,-84.9553,19.17,89,0,0.0,US,1720669660
505,zhangatas,43.5667,69.75,30.49,29,8,6.08,KZ,1720669661
506,peymeinade,43.6333,6.8833,22.69,69,2,2.11,FR,1720669661
507,ciudad lazaro cardenas,17.9583,-102.2,26.25,82,100,1.67,MX,1720669661
508,port moresby,-9.4431,147.1797,28.68,65,75,10.29,PG,1720669661
509,barro alto,-11.7608,-41.9117,17.45,90,5,2.31,BR,1720669661
510,rio grande,-32.035,-52.0986,8.86,91,78,4.0,BR,1720669661
511,carutapera,-1.195,-46.02,24.84,85,83,3.48,BR,1720669661
512,soe,-9.8607,124.284,26.59,33,91,4.94,ID,1720669661
513,puerto lempira,15.2667,-83.7667,26.56,90,87,4.16,HN,1720669661
514,rawson,-43.3002,-65.1023,3.85,79,6,5.91,AR,1720669662
515,weno,7.4515,151.8468,28.85,77,84,5.66,FM,1720669662
516,broken hill,-31.95,141.4333,11.01,75,100,9.44,AU,1720669662
517,severo-yeniseyskiy,60.3725,93.0408,20.86,43,24,2.95,RU,1720669662
518,crane,31.3974,-102.3501,32.05,23,100,5.42,US,1720669662
519,zima,53.9202,102.0442,20.26,88,100,3.8,RU,1720669662
520,juneau,58.3019,-134.4197,12.0,98,100,5.14,US,1720669417
521,zhoucheng,35.9122,116.3117,32.34,46,1,3.11,CN,1720669662
522,tazacorte,28.629,-17.9293,21.54,95,100,6.69,ES,1720669663
523,sangkhla buri,15.1555,98.4536,24.99,92,100,0.54,TH,1720669663
524,haiku-pauwela,20.9219,-156.3051,26.01,73,20,8.23,US,1720669663
525,labytnangi,66.6572,66.4183,21.53,66,78,3.44,RU,1720669663
526,booue,-0.0921,11.9385,22.52,89,60,0.9,GA,1720669663
527,lompoc,34.6391,-120.4579,14.23,94,75,3.09,US,1720669663
528,banda aceh,5.5577,95.3222,29.86,63,100,3.18,ID,1720669663
529,gniezno,52.5348,17.5826,20.36,96,100,1.02,PL,1720669663
530,miles city,46.4083,-105.8406,30.54,25,0,3.09,US,1720669663
531,savanna-la-mar,18.219,-78.1332,28.97,91,14,0.95,JM,1720669664
532,marco,25.9726,-81.729,29.01,87,89,1.02,US,1720669664
533,rengasdengklok,-6.1592,107.2981,32.07,59,84,1.62,ID,1720669664
534,abeche,13.8292,20.8324,25.22,76,100,3.3,TD,1720669664
535,oak island,33.9166,-78.1611,28.92,89,40,2.06,US,1720669664
536,namtsy,62.7161,129.6658,18.64,77,98,1.94,RU,1720669664
537,batticaloa,7.7102,81.6924,29.24,65,99,1.33,LK,1720669665
538,umea,63.8284,20.2597,13.96,94,0,3.6,SE,1720669665
539,onega,63.9061,38.1404,14.86,70,6,1.48,RU,1720669665
540,nookat,40.2671,72.6207,21.42,33,9,2.46,KG,1720669665
541,aleg,17.0481,-13.9209,30.71,51,32,4.58,MR,1720669665
